Username,Handle,Timestamp,Content,RespondingTo,CommentCount,Retweets,Likes
Bitcoin News,@BTCTN,2022-01-10T12:34:08.000Z,"Situation in #Kazakhstan is stabilizing, government claims as #cryptocurrency miners look to a future in the country.","news.bitcoin.com
Kazakhstan Is Stabilizing, Government Claims as Crypto Miners Look to Future in Country – Mining...
The situation across Kazakhstan, hit by anti-government protests in the first week of the year, is normalizing, central authorities claim.",64,89,287
Jolly St. Peter,@JollyStPeter1,2022-01-11T00:58:40.000Z,"Community is everything. 

A transparent and available Dev team creates trust and security. With #RevivalDeFi, you can have it all! Join the Discord, https://discord.gg/revivaldefi, and join the family today! 

#Revival #Vival #BNB #BSC #Binance #Crypto #cryptocurrency #MondayMotivation",,1,11,13
RALVΞRO,@Ralvero,2022-01-10T19:28:52.000Z,"Woow this is sick news! 

Mentioned this gem 
@fcfpay
 before and now they announced that 
@safemoon
 will be the first #BSC token to be listed on #FCFPAY! 

Really bullish about this project and this team! 
Powered by :http://Frenchconnection.finance

#BNB  #binance  #cryptocurrency",,50,148,270
Anna,@dwn_anna,2022-01-11T08:17:58.000Z,"Good morning London, England #cryptocurrency",,1,,
Rafflez $MONGMutt,@Rafflez9,2022-01-10T19:29:57.000Z,"To the $MONGRESS...
@mongoosecoineth
 @mongs_nft
 #crypto #cryptocurrency #1000xgem $MONG",,1,,6
Claymari,@callmestudafire,2022-01-10T15:42:22.000Z,"Expecting #CNFT Bluechips to pop off really soon. Hold on tight boys. Our time has finally come -

I urge every NFT Collector to hop onto #CNFTs for the cheapest Gas fees you can get 
@spacebudzNFT
 
@The_ClayMates
 

#NFTs #cryptocurrency #ETH #SolanaNFTs #Sol",,11,13,109
RichQuack,@RichQuack,2022-01-10T11:29:25.000Z,"Inside RichQUACK's Promising Plan To Become The Gem Of Crypto - Alexablockchain

#blockchain #RichQUACK #QUACKarmy #QUACKattack #Crypto #cryptocurrency #CryptocurrencyNews #CryptoNews","alexablockchain.com
Inside RichQUACK's Promising Plan To Become The Gem Of Crypto
RickQUACK is not just building a hyper-deflationary token, but it also plans to incubate other projects and explore Metaverse space. AlexaBlockchain",1.2K,1.8K,1.8K
Bitcoin News,@BTCTN,2022-01-10T04:32:52.000Z,An industry association has written to India’s finance minister seeking clarity on #cryptocurrency taxation in Union Budget 2022-23. #crypto #bitcoin,"news.bitcoin.com
Indian Crypto Industry Seeks Tax Clarity in Union Budget 2022-23 – Taxes Bitcoin News
An Indian industry association has written to the country's finance minister seeking clarity on cryptocurrency taxation in Union Budget 2022.",65,95,296
Saita Vader,@SaitaVader,2022-01-10T18:00:27.000Z,"What exchange do you think #saitama 
@InuSaitama
 will list on next & why? 

#Crypto #altcoin #Binance #coinbase #CryptoNews #100xgem #100xCoin #Ethereum #erc20tokens #cryptocurrency #cryptocurrencies #KuCoinGem #robinhood #Wazirx #CEX #CEXlisting #NFTGame #NFTCommunity #SaitaMask",,38,82,282
MetaInu,@MetaInucoin,2022-01-10T17:11:00.000Z,"Meta is the future, and MetaInu is here to stay  #Crypto #Cryptocurrency",,,3,6
XY,@tomalyo1,2022-01-10T13:05:06.000Z,"Fudders used to say #MononokeInu is dead....
Well... That doesn't look dead to me at all 

#cryptoworld #cryptocurrencies #btc #cryptoinvestor #invest #forexlifestyle #cryptotrading #cryptos #bitcoin #cryptocurrency #shib #SaitaMask #Shibnobi",,4,13,50
Cryptobolix,@Cryptobolix,2022-01-10T17:47:19.000Z,"Understanding Fully Diluted Market VS Market Cap for 100x - 1000x 

Watch Here: https://youtu.be/bAcL3s3EXus
 
#Saitama #Mandox #HODLVault #CryptoNews #cryptocurrency #Crypto",,12,28,60
Cisco Edosma | BoredApe| To the,@CiscoEdosma,2022-01-11T06:44:55.000Z,"17% in a week! When will it up? 
#ETH #cryptocurrency",,1,,3
Ahmed,@ctp_moon,2022-01-10T18:52:06.000Z,Down the Rabbit Hole. The future Hint of #cryptocurrency,,,,4
Moneta,@moneta_holdings,2022-01-10T13:25:00.000Z,"#Stabila as the leading contender for the 2022 spotlight. Stabila's market cap of $325 mln makes it the most #undervalued #cryptocurrency in the market.
https://stabilascan.org",,13,51,51
Solicy,@solicydotnet,2022-01-11T07:09:34.000Z,"A real rollercoaster!

#CryptoNews #cryptocurrency #BTC #ETH #BNB #SOL",,1,6,9
Dogelon Warriors,@DogelonWarriors,2022-01-10T12:30:00.000Z,"HODL FOR LIFE! DIAMOND HANDS
#dogelon #dogelonmars #elon #doge #crypto #cryptocurrency $ELON 
@DogelonMars",,15,54,167
Shitcoin Buccaneer,@Shitcoin_Bucc,2022-01-10T11:49:33.000Z,"It just keeps on going. Don't miss out. Become one of our #storkholders today.

$KTO #Kounotoritoken #kounotori #CryptoNews  #cryptocurrency #ToTheMoon",,13,17,32
CryptoBull,@CryptoBull3000,2022-01-11T00:06:53.000Z,"#Kounotoritoken now it's a party!!!

NO TAX TUESDAY

Grab a bag and thank me in 6-12 months!
@CryptoGerion
 @KounotoriToken
 #kounotori #storkholders #Crypto #cryptocurrency",,2,30,47
AfricaPunkz | Stealth mint | Free price,@africapunkz,2022-01-11T08:10:18.000Z,"Our free mint is live! 
https://africa-punkz-freemint-v2.vercel.app

#SolanaAirdrop #NFTGiveaway #cryptocurrency",,4,3,4
Jeremiah G,@NOLAFloods,2022-01-11T00:34:17.000Z,They see me rollin. #EarnHub #Anyflect #SAFEMOON #DeFi #CryptoGems #cryptocurrency #crypto  ,,1,2,7
NHASH,@NHASH_mining,2022-01-10T15:04:19.000Z,"$HNS HS5 and HS box on sale, which one do you prefer? https://nhash.net/miners/list?brand=Goldshell&digCoin=HNS… #cryptocurrency",goldshellminer,1,2,10
Bitcoin News,@BTCTN,2022-01-09T16:33:14.000Z,#Kosovo police seize hundreds of mining rigs following ban on #cryptocurrency mining.,"news.bitcoin.com
Kosovo Seizes Hundreds of Crypto Mining Machines in Crackdown – Mining Bitcoin News
Police in Kosovo have seized another batch of over 200 mining devices as part of raids against crypto miners that started on Thursday.",125,106,277
Bitcoin News,@BTCTN,2022-01-11T09:31:25.000Z,The US and Estonia discussed opportunities for cooperation in implementing FATF and regulating #crypto assets. #bitcoin #cryptocurrency,"news.bitcoin.com
Estonia Offers to Share Crypto Experience With US to Identify Best Practices for Digital Assets –...
Estonian Finance Minister Keit Pentus-Rosimannus has offered to share her country's experience in regulating cryptocurrencies with the U.S.",29,24,102
Crypto Gem Guru,@CryptoGemGuru,2022-01-10T10:11:08.000Z,"$SAITO  is awakening again… 

We’re gearing up to retest the .10s 

#BlockchainGaming #gateio #cryptocurrency #web3",,9,8,39
Lumenswap,@lumenswap,2022-01-10T11:43:57.000Z,#Cryptocurrency marked the end of the era of money counterfeiting.,,28,23,67
#Saitama Denmark,@knudsen_schultz,2022-01-10T06:21:37.000Z,#Saitama #cryptocurrency #SaitamaWolfPack We Are so strong together for a better world ,,11,21,62
Whale Coin Talk,@WhaleCoinTalk,2022-01-10T15:00:02.000Z,"Changpeng Zhao, the CEO of Binance, has been named the Richest person in #cryptocurrency.

According to the Bloomberg Billionaire Index, 
@cz_binance
 estimated net worth is $96 billion 

#Whalecointalk #CryptocurrencyNews #Binance #BNB",,58,58,71
4rancex,@andrewlet_ng,2022-01-10T17:59:39.000Z,This office make sense o.... Binance brand ambassador Cross Da Boss the money maker..#cryptocurrency #cryptotrading #BinanceSmartChain #Binance #CrossOkonkwo,,4,11,17
